"year" "a1h" "a2h" "a1v" "a2v" "h" "f" "I" "I1p" "I1" "I2"
"1" 1998 859 213 109 87 48269 0.110610849038768 189 110 130 119
"2" 1999 400 109 68 69 48343 0.110610849038768 110 80 189 130
"3" 2000 345 61 34 9 36203 0.1047 80 76 110 189
"4" 2001 320 82 21 14 24236 0.0968 76 54 80 110
"5" 2002 332 99 59 37 20194 0.0886 54 52 76 80
"6" 2003 0 0 97 54 0 0 52 97 54 76
"7" 2004 0 0 121 79 0 0 97 180 52 54
"8" 2005 911 369 65 50 14680 0.0963 180 140 97 52
"9" 2006 614 155 93 70 11342 0.0893 140 91 180 97
"10" 2007 625 192 109 53 8407 0.0829 91 129 140 180
"11" 2008 817 200 85 70 13080 0.1047 129 178 91 140
"12" 2009 1534 464 178 84 21894 0.1337 178 190 129 91
"13" 2010 1651 424 148 127 18482 0.1221 190 103 178 129
"14" 2011 516 207 143 149 9858 0.1045 103 82 190 178
"15" 2012 459 129 159 92 7581 0.084 82 96 103 190
